,League Champion,Most Valuable Player,Rookie of the Year,PPG Leader,RPG Leader,APG Leader,Win Share Leader,Year
0,Chicago Bulls,Karl Malone,Allen Iverson,Michael Jordan,Dennis Rodman,Mark Jackson,Michael Jordan,1997
1,Chicago Bulls,Michael Jordan,Tim Duncan,Michael Jordan,Dennis Rodman,Rod Strickland,Karl Malone,1998
2,San Antonio Spurs,Karl Malone,Vince Carter,Allen Iverson,Chris Webber,Jason Kidd,Karl Malone,1999
3,Los Angeles Lakers,Shaquille O'Neal,Elton Brand,Shaquille O'Neal,Dikembe Mutombo,Jason Kidd,Shaquille O'Neal,2000
4,Los Angeles Lakers,Allen Iverson,Mike Miller,Allen Iverson,Dikembe Mutombo,Jason Kidd,Shaquille O'Neal,2001
5,Los Angeles Lakers,Tim Duncan,Pau Gasol,Allen Iverson,Ben Wallace,Andre Miller,Tim Duncan,2002
6,San Antonio Spurs,Tim Duncan,Amar'e Stoudemire,Tracy McGrady,Ben Wallace,Jason Kidd,Tim Duncan,2003
7,Detroit Pistons,Kevin Garnett,LeBron James,Tracy McGrady,Kevin Garnett,Jason Kidd,Kevin Garnett,2004
8,San Antonio Spurs,Steve Nash,Emeka Okafor,Allen Iverson,Kevin Garnett,Steve Nash,Kevin Garnett,2005
9,Miami Heat,Steve Nash,Chris Paul,Kobe Bryant,Kevin Garnett,Steve Nash,Dirk Nowitzki,2006
10,San Antonio Spurs,Dirk Nowitzki,Brandon Roy,Kobe Bryant,Kevin Garnett,Steve Nash,Dirk Nowitzki,2007
11,Boston Celtics,Kobe Bryant,Kevin Durant,LeBron James,Dwight Howard,Chris Paul,Chris Paul,2008
12,Los Angeles Lakers,LeBron James,Derrick Rose,Dwyane Wade,Dwight Howard,Chris Paul,LeBron James,2009
13,Los Angeles Lakers,LeBron James,Tyreke Evans,Kevin Durant,Dwight Howard,Steve Nash,LeBron James,2010
14,Dallas Mavericks,Derrick Rose,Blake Griffin,Kevin Durant,Kevin Love,Steve Nash,LeBron James,2011
15,Miami Heat,LeBron James,Kyrie Irving,Kevin Durant,Dwight Howard,Rajon Rondo,LeBron James,2012
16,Miami Heat,LeBron James,Damian Lillard,Carmelo Anthony,Dwight Howard,Rajon Rondo,LeBron James,2013
17,San Antonio Spurs,Kevin Durant,Michael Carter-Williams,Kevin Durant,DeAndre Jordan,Chris Paul,Kevin Durant,2014
18,Golden State Warriors,Stephen Curry,Andrew Wiggins,Russell Westbrook,DeAndre Jordan,Chris Paul,James Harden,2015
19,Cleveland Cavaliers,Stephen Curry,Karl-Anthony Towns,Stephen Curry,Andre Drummond,Rajon Rondo,Stephen Curry,2016
20,Golden State Warriors,Russell Westbrook,Malcolm Brogdon,Russell Westbrook,Hassan Whiteside,James Harden,James Harden,2017
21,Golden State Warriors,James Harden,Ben Simmons,James Harden,Andre Drummond,Russell Westbrook,James Harden,2018
22,Toronto Raptors,Giannis Antetokounmpo,Luka Dončić,James Harden,Andre Drummond,Russell Westbrook,James Harden,2019
23,Los Angeles Lakers,Giannis Antetokounmpo,Ja Morant,James Harden,Andre Drummond,LeBron James,James Harden,2020
24,Milwaukee Bucks,Nikola Jokić,LaMelo Ball,Stephen Curry,Clint Capela,Russell Westbrook,Nikola Jokić,2021
25,Golden State Warriors,Nikola Jokić,Scottie Barnes,Joel Embiid,Rudy Gobert,Chris Paul,Nikola Jokić,2022
26,Denver Nuggets,Joel Embiid,Paolo Banchero,Joel Embiid,Domantas Sabonis,James Harden,Nikola Jokić,2023
